Cases,Area,Year,Sex
3,Donegal,2019,Female
8,Monaghan,2013,Both sexes
7,Monaghan,2013,Male
1,Monaghan,2013,Female
10,Monaghan,2014,Both sexes
9,Monaghan,2014,Male
1,Monaghan,2014,Female
5,Monaghan,2015,Both sexes
5,Monaghan,2015,Male
0,Monaghan,2015,Female
12,Monaghan,2016,Both sexes
11,Monaghan,2016,Male
1,Monaghan,2016,Female
9,Monaghan,2017,Both sexes
8,Monaghan,2017,Male
1,Monaghan,2017,Female
9,Monaghan,2018,Both sexes
5,Monaghan,2018,Male
4,Monaghan,2018,Female
7,Monaghan,2019,Both sexes
4,Monaghan,2019,Male
3,Monaghan,2019,Female
62,Border,2013,Both sexes
47,Border,2013,Male
15,Border,2013,Female
57,Border,2014,Both sexes
45,Border,2014,Male
12,Border,2014,Female
54,Border,2015,Both sexes
40,Border,2015,Male
14,Border,2015,Female
62,Border,2016,Both sexes
52,Border,2016,Male
10,Border,2016,Female
53,Border,2017,Both sexes
46,Border,2017,Male
7,Border,2017,Female
42,Border,2018,Both sexes
33,Border,2018,Male
9,Border,2018,Female
40,Border,2019,Both sexes
30,Border,2019,Male
10,Border,2019,Female
29,Midland,2013,Both sexes
26,Midland,2013,Male
3,Midland,2013,Female
22,Midland,2014,Both sexes
21,Midland,2014,Male
1,Midland,2014,Female
27,Midland,2015,Both sexes
23,Midland,2015,Male
4,Midland,2015,Female
38,Midland,2016,Both sexes
32,Midland,2016,Male
6,Midland,2016,Female
25,Midland,2017,Both sexes
19,Midland,2017,Male
6,Midland,2017,Female
29,Midland,2018,Both sexes
24,Midland,2018,Male
5,Midland,2018,Female
23,Midland,2019,Both sexes
17,Midland,2019,Male
6,Midland,2019,Female
55,West,2013,Both sexes
45,West,2013,Male
10,West,2013,Female
66,West,2014,Both sexes
53,West,2014,Male
13,West,2014,Female
51,West,2015,Both sexes
43,West,2015,Male
8,West,2015,Female
45,West,2016,Both sexes
38,West,2016,Male
7,West,2016,Female
38,West,2017,Both sexes
36,West,2017,Male
2,West,2017,Female
30,West,2018,Both sexes
25,West,2018,Male
5,West,2018,Female
50,West,2019,Both sexes
32,West,2019,Male
18,West,2019,Female
101,Dublin,2013,Both sexes
75,Dublin,2013,Male
26,Dublin,2013,Female
80,Dublin,2014,Both sexes
64,Dublin,2014,Male
16,Dublin,2014,Female
51,Dublin,2015,Both sexes
41,Dublin,2015,Male
10,Dublin,2015,Female
53,Dublin,2016,Both sexes
33,Dublin,2016,Male
20,Dublin,2016,Female
44,Dublin,2017,Both sexes
31,Dublin,2017,Male
13,Dublin,2017,Female
41,Dublin,2018,Both sexes
29,Dublin,2018,Male
12,Dublin,2018,Female
47,Dublin,2019,Both sexes
33,Dublin,2019,Male
14,Dublin,2019,Female
48,Mid-East,2013,Both sexes
41,Mid-East,2013,Male
7,Mid-East,2013,Female
58,Mid-East,2014,Both sexes
52,Mid-East,2014,Male
6,Mid-East,2014,Female
58,Mid-East,2015,Both sexes
44,Mid-East,2015,Male
14,Mid-East,2015,Female
45,Mid-East,2016,Both sexes
38,Mid-East,2016,Male
7,Mid-East,2016,Female
49,Mid-East,2017,Both sexes
41,Mid-East,2017,Male
8,Mid-East,2017,Female
47,Mid-East,2018,Both sexes
40,Mid-East,2018,Male
7,Mid-East,2018,Female
63,Mid-East,2019,Both sexes
48,Mid-East,2019,Male
15,Mid-East,2019,Female
66,Mid-West,2013,Both sexes
51,Mid-West,2013,Male
15,Mid-West,2013,Female
48,Mid-West,2014,Both sexes
41,Mid-West,2014,Male
7,Mid-West,2014,Female
49,Mid-West,2015,Both sexes
37,Mid-West,2015,Male
12,Mid-West,2015,Female
44,Mid-West,2016,Both sexes
35,Mid-West,2016,Male
9,Mid-West,2016,Female
59,Mid-West,2017,Both sexes
50,Mid-West,2017,Male
9,Mid-West,2017,Female
72,Mid-West,2018,Both sexes
55,Mid-West,2018,Male
17,Mid-West,2018,Female
71,Mid-West,2019,Both sexes
56,Mid-West,2019,Male
15,Mid-West,2019,Female
56,South-East,2013,Both sexes
46,South-East,2013,Male
10,South-East,2013,Female
